id,fdc_id_of_sample_food,fdc_id_of_acquisition_food
216,321512,321513
217,321512,321517
218,321512,321515
219,321512,321514
220,321521,321523
221,321521,321522
222,321521,321524
223,321528,321529
224,321528,321533
225,321528,321531
226,321528,321532
227,321528,321530
228,321528,321534
229,321538,321543
230,321538,321544
231,321538,321539
232,321538,321540
233,321538,321541
234,321538,321542
235,321547,321553
236,321547,321550
237,321547,321552
238,321547,321548
239,321547,321551
240,321547,321549
241,321557,321560
242,321557,321558
243,321557,321563
244,321557,321562
245,321557,321559
246,321557,321561
247,321566,321567
248,321566,321569
249,321566,321568
250,321573,321577
251,321573,321575
252,321573,321578
253,321573,321576
254,321573,321574
255,321573,321579
256,321582,321583
257,321582,321587
258,321582,321584
259,321582,321585
260,321582,321586
261,321582,321588
262,321591,321595
263,321591,321592
264,321591,321597
265,321591,321596
266,321591,321594
267,321591,321593
268,321601,321602
269,321601,321605
270,321601,321607
271,321601,321604
272,321601,321606
273,321601,321603
274,321612,321614
275,321612,321613
276,321612,321615
277,321618,321615
278,321618,321613
279,321618,321614
280,321621,321623
281,321621,321625
282,321621,321624
283,321621,321622
284,321628,321623
285,321628,321625
286,321628,321622
287,321628,321624
288,321631,321632
289,321631,321633
290,321631,321634
291,321631,321635
292,321638,321635
293,321638,321633
294,321638,321634
295,321638,321632
296,321641,321643
297,321641,321645
298,321641,321642
299,321641,321644
300,321648,321642
301,321648,321644
302,321648,321645
303,321648,321643
304,321651,321656
305,321651,321654
306,321651,321657
307,321651,321652
308,321651,321655
309,321651,321653
310,321674,321678
311,321674,321679
312,321674,321677
313,321674,321675
314,321674,321676
315,321693,321696
316,321693,321694
317,321693,321695
318,321693,321698
319,321693,321699
320,321693,321697
321,321718,321728
322,321718,321723
323,321718,321720
324,321718,321727
325,321718,321726
326,321718,321725
327,321718,321722
328,321718,321719
329,321718,321721
330,321718,321724
331,321746,321720
332,321746,321719
333,321746,321724
334,321746,321721
335,321746,321723
336,321746,321727
337,321746,321722
338,321746,321725
339,321746,321726
340,321746,321728
341,321763,321767
342,321763,321772
343,321763,321766
344,321763,321764
345,321763,321768
346,321763,321765
347,321763,321769
348,321763,321771
349,321763,321770
350,321791,321767
351,321791,321768
352,321791,321772
353,321791,321765
354,321791,321771
355,321791,321770
356,321791,321764
357,321791,321769
358,321791,321766
359,321810,321815
360,321810,321812
361,321810,321813
362,321810,321814
363,321810,321811
364,321810,321816
365,321829,321815
366,321829,321816
367,321829,321811
368,321829,321812
369,321829,321813
370,321829,321814
371,321845,321849
372,321845,321847
373,321845,321846
374,321845,321848
375,321863,321849
376,321863,321848
377,321863,321847
378,321863,321846
379,321880,321882
380,321880,321886
381,321880,321881
382,321880,321884
383,321880,321885
384,321880,321887
385,321880,321883
386,321901,321902
387,321907,321908
388,321913,321914
389,321920,321921
390,321940,321941
391,321959,321960
392,321978,321979
393,322001,322002
394,322020,322021
395,322043,322044
396,322049,322050
397,322055,322056
398,322061,322062
399,322067,322068
400,322073,322074
401,322079,322080
402,322085,322086
403,322105,322106
404,322128,322129
405,322150,322151
406,322173,322174
407,322182,322183
408,322188,322189
409,322207,322208
410,322229,322230
411,322236,322237
412,322243,322244
413,322249,322250
414,322268,322269
415,322287,322288
416,322306,322307
417,322329,322330
418,322349,322350
419,322373,322374
420,322379,322380
421,322386,322387
422,322392,322393
423,322398,322399
424,322404,322405
425,322410,322411
426,322416,322417
427,322439,322440
428,322448,322449
429,322471,322472
430,322492,322493
431,322514,322515
432,322520,322521
433,322539,322540
434,322560,322561
435,322566,322567
436,322588,322589
437,322612,322613
438,322628,322629
439,322647,322648
440,322666,322667
441,322689,322690
442,322696,322697
443,322702,322703
444,322708,322709
445,322715,322716
446,322721,322722
447,322727,322728
448,322734,322735
449,322740,322741
450,322763,322764
451,322769,322770
452,322793,322794
453,322814,322815
454,322836,322837
455,322842,322843
456,322851,322852
457,322871,322872
458,322893,322895
459,322893,322894
460,322899,322904
461,322899,322903
462,322899,322905
463,322899,322900
464,322899,322901
465,322899,322902
466,322910,322912
467,322910,322911
468,322910,322914
469,322910,322916
470,322910,322913
471,322910,322915
472,322920,322925
473,322920,322926
474,322920,322923
475,322920,322924
476,322920,322921
477,322920,322922
478,322937,322939
479,322937,322941
480,322937,322940
481,322937,322938
482,322937,322943
483,322937,322942
484,322955,322956
485,322955,322959
486,322955,322960
487,322955,322961
488,322955,322958
489,322955,322957
490,322965,322966
491,322965,322968
492,322965,322967
493,322972,322978
494,322972,322976
495,322972,322975
496,322972,322973
497,322972,322974
498,322972,322977
499,322992,322997
500,322992,322994
501,322992,322995
502,322992,322998
503,322992,322996
504,322992,322993
505,323010,323013
506,323010,323011
507,323010,323012
508,323010,323014
509,323027,323029
510,323027,323031
511,323027,323033
512,323027,323028
513,323027,323032
514,323027,323030
515,323044,323046
516,323044,323045
517,323044,323047
518,323044,323050
519,323044,323048
520,323044,323049
521,323054,323056
522,323054,323055
523,323054,323057
524,323054,323058
525,323069,323075
526,323069,323071
527,323069,323073
528,323069,323070
529,323069,323074
530,323069,323072
531,323085,323088
532,323085,323087
533,323085,323089
534,323085,323090
535,323085,323086
536,323085,323091
537,323095,323098
538,323095,323101
539,323095,323096
540,323095,323100
541,323095,323097
542,323095,323099
543,323105,323109
544,323105,323108
545,323105,323106
546,323105,323107
547,323122,323125
548,323122,323123
549,323122,323124
550,323122,323126
551,323129,323130
552,323129,323133
553,323129,323131
554,323129,323132
555,323137,323141
556,323137,323140
557,323137,323139
558,323137,323138
559,323146,323148
560,323146,323149
561,323146,323147
562,323146,323150
563,323161,323163
564,323161,323165
565,323161,323162
566,323161,323164
567,323178,323179
568,323178,323182
569,323178,323184
570,323178,323183
571,323178,323180
572,323178,323185
573,323178,323181
574,323189,323190
575,323189,323192
576,323189,323193
577,323189,323191
578,323205,323206
579,323205,323208
580,323205,323207
581,323205,323209
582,323212,323215
583,323212,323214
584,323212,323213
585,323212,323216
586,323212,323217
587,323212,323218
588,323230,323232
589,323230,323234
590,323230,323235
591,323230,323231
592,323230,323236
593,323230,323233
594,323250,323252
595,323250,323254
596,323250,323251
597,323250,323253
598,323265,323267
599,323265,323268
600,323265,323269
601,323265,323266
602,323280,323281
603,323280,323282
604,323295,323296
605,323295,323298
606,323295,323297
607,323304,323305
608,323304,323306
609,323311,323312
610,323311,323314
611,323311,323313
612,323326,323329
613,323326,323327
614,323326,323328
615,323342,323345
616,323342,323343
617,323342,323344
618,323361,323363
619,323361,323362
620,323361,323365
621,323361,323364
622,323370,323373
623,323370,323372
624,323370,323371
625,323378,323379
626,323378,323381
627,323378,323380
628,323378,323382
629,323393,323394
630,323393,323395
631,323393,323396
632,323393,323397
633,323408,323411
634,323408,323409
635,323408,323410
636,323425,323427
637,323425,323428
638,323425,323426
639,323445,323446
640,323445,323447
641,323451,323452
642,323451,323453
643,323458,323459
644,323458,323460
645,323473,323475
646,323473,323474
647,323490,323491
648,323490,323492
649,323506,323507
650,323513,323514
651,323520,323521
652,323527,323528
653,323534,323535
654,323541,323542
655,323548,323549
656,323555,323556
657,323562,323563
658,323569,323570
659,323576,323577
660,323583,323584
661,323590,323591
662,323597,323598
663,323605,323606
664,323610,323611
665,323616,323617
666,323622,323623
667,323627,323628
668,323634,323635
669,323641,323642
670,323646,323647
671,323651,323652
672,323657,323658
673,323663,323664
674,323669,323670
675,323674,323675
676,323679,323680
677,323685,323686
678,323692,323693
679,323698,323699
680,323705,323706
681,323711,323712
682,323718,323719
683,323724,323725
684,323730,323731
685,323736,323737
686,323742,323743
687,323748,323749
688,323754,323755
689,323760,323761
690,323767,323768
691,323774,323775
692,323780,323781
693,323787,323788
694,323794,323798
695,323794,323795
696,323794,323796
697,323794,323797
698,323802,323805
699,323802,323806
700,323802,323803
701,323802,323804
702,323810,323811
703,323810,323813
704,323810,323812
705,323810,323814
706,323818,323820
707,323818,323821
708,323818,323822
709,323818,323819
710,323826,323828
711,323826,323827
712,323826,323829
713,323833,323836
714,323833,323834
715,323833,323837
716,323833,323835
717,323841,323842
718,323841,323843
719,323847,323851
720,323847,323849
721,323847,323848
722,323847,323850
723,323855,323859
724,323855,323858
725,323855,323857
726,323855,323856
727,323863,323867
728,323863,323866
729,323863,323865
730,323863,323864
731,323871,323875
732,323871,323872
733,323871,323873
734,323871,323874
735,323879,323883
736,323879,323881
737,323879,323880
738,323879,323882
739,323887,323889
740,323887,323890
741,323887,323891
742,323887,323888
743,323896,323898
744,323896,323897
745,323896,323900
746,323896,323899
747,323905,323907
748,323905,323906
749,323905,323908
750,323905,323909
751,323914,323916
752,323914,323915
753,323914,323917
754,323914,323918
755,323931,323933
756,323931,323932
757,323931,323934
758,323931,323935
759,323947,323951
760,323947,323949
761,323947,323948
762,323947,323950
763,323963,323965
764,323963,323964
765,323963,323966
766,323963,323967
767,323972,323973
768,323972,323974
769,323972,323975
770,323988,323991
771,323988,323990
772,323988,323992
773,323988,323989
774,324003,324006
775,324003,324005
776,324003,324004
777,324003,324007
778,324012,324016
779,324012,324013
780,324012,324015
781,324012,324014
782,324021,324023
783,324021,324024
784,324021,324025
785,324021,324022
786,324039,324040
787,324039,324045
788,324039,324041
789,324039,324049
790,324039,324047
791,324039,324042
792,324039,324043
793,324039,324046
794,324039,324044
795,324039,324048
796,324053,324056
797,324053,324057
798,324053,324054
799,324053,324058
800,324053,324059
801,324053,324055
802,324071,324072
803,324071,324074
804,324071,324076
805,324071,324077
806,324071,324073
807,324071,324075
808,324091,324092
809,324091,324101
810,324091,324095
811,324091,324099
812,324091,324098
813,324091,324100
814,324091,324094
815,324091,324093
816,324091,324096
817,324091,324097
818,324113,324114
819,324113,324116
820,324113,324121
821,324113,324119
822,324113,324115
823,324113,324123
824,324113,324117
825,324113,324120
826,324113,324122
827,324113,324118
828,324135,324142
829,324135,324137
830,324135,324138
831,324135,324139
832,324135,324143
833,324135,324140
834,324135,324136
835,324135,324141
836,324158,324160
837,324158,324161
838,324158,324162
839,324158,324159
840,324165,324166
841,324165,324167
842,324170,324173
843,324170,324171
844,324170,324174
845,324170,324172
846,324177,324180
847,324177,324181
848,324177,324179
849,324177,324178
850,324195,324198
851,324195,324199
852,324195,324197
853,324195,324196
854,324214,324215
855,324214,324217
856,324214,324216
857,324214,324218
858,324233,324237
859,324233,324234
860,324233,324235
861,324233,324236
862,324252,324254
863,324252,324253
864,324252,324255
865,324252,324256
866,324259,324260
867,324259,324262
868,324259,324263
869,324259,324261
870,324278,324282
871,324278,324281
872,324278,324280
873,324278,324279
874,324297,324299
875,324297,324301
876,324297,324300
877,324297,324298
878,324318,324321
879,324318,324322
880,324318,324319
881,324318,324320
882,324325,324328
883,324325,324327
884,324325,324329
885,324325,324326
886,324332,324334
887,324332,324335
888,324332,324333
889,324332,324336
890,324339,324341
891,324339,324340
892,324339,324343
893,324339,324342
894,324352,324356
895,324352,324354
896,324352,324353
897,324352,324355
898,324359,324362
899,324359,324361
900,324359,324360
901,324359,324363
902,324366,324368
903,324366,324370
904,324366,324369
905,324366,324367
906,324383,324384
907,324383,324385
908,324383,324386
909,324383,324387
910,324401,324404
911,324401,324405
912,324401,324402
913,324401,324403
914,324414,324415
915,324414,324418
916,324414,324417
917,324414,324416
918,324421,324424
919,324421,324422
920,324421,324425
921,324421,324423
922,324438,324440
923,324438,324439
924,324438,324441
925,324438,324442
926,324445,324447
927,324445,324449
928,324445,324446
929,324445,324448
930,324452,324454
931,324452,324456
932,324452,324455
933,324452,324453
934,324459,324461
935,324459,324460
936,324472,324475
937,324472,324476
938,324472,324474
939,324472,324473
940,324485,324487
941,324485,324486
942,324485,324489
943,324485,324488
944,324502,324503
945,324502,324504
946,324508,324510
947,324508,324509
948,324514,324517
949,324514,324515
950,324514,324518
951,324514,324516
952,324529,324533
953,324529,324531
954,324529,324532
955,324529,324530
956,324537,324540
957,324537,324538
958,324537,324539
959,324537,324541
960,324545,324546
961,324545,324548
962,324545,324549
963,324545,324547
964,324553,324557
965,324553,324556
966,324553,324555
967,324553,324554
968,324561,324563
969,324561,324562
970,324567,324571
971,324567,324570
972,324567,324568
973,324567,324569
974,324575,324577
975,324575,324578
976,324575,324576
977,324582,324584
978,324582,324583
979,324582,324585
980,324582,324586
981,324590,324591
982,324590,324594
983,324590,324593
984,324590,324592
985,324598,324599
986,324598,324600
987,324598,324601
988,324598,324602
989,324606,324608
990,324606,324609
991,324606,324607
992,324613,324616
993,324613,324614
994,324613,324615
995,324613,324617
996,324621,324625
997,324621,324622
998,324621,324623
999,324621,324624
1000,324629,324631
1001,324629,324633
1002,324629,324630
1003,324629,324632
1004,324637,324639
1005,324637,324638
1006,324637,324641
1007,324637,324640
1008,324645,324648
1009,324645,324646
1010,324645,324649
1011,324645,324647
1012,324654,324656
1013,324654,324655
1014,324654,324657
1015,324661,324664
1016,324661,324662
1017,324661,324663
1018,324668,324670
1019,324668,324669
1020,324683,324685
1021,324683,324684
1022,324689,324690
1023,324689,324691
1024,324689,324692
1025,324689,324694
1026,324689,324693
1027,324689,324695
1028,324710,324711
1029,324710,324712
1030,324726,324728
1031,324726,324727
1032,324732,324733
1033,324732,324734
1034,324748,324750
1035,324748,324749
1036,324754,324755
1037,324754,324756
1038,324760,324761
1039,324760,324762
1040,324766,324767
1041,324766,324768
1042,324781,324783
1043,324781,324782
1044,324798,324801
1045,324798,324800
1046,324798,324799
1047,324805,324806
1048,324805,324807
1049,324822,324823
1050,324822,324824
1051,324838,324839
1052,324838,324840
1053,324853,324855
1054,324853,324856
1055,324853,324854
1056,324861,324867
1057,324861,324866
1058,324861,324864
1059,324861,324862
1060,324861,324865
1061,324861,324863
1062,324871,324875
1063,324871,324874
1064,324871,324876
1065,324871,324877
1066,324871,324873
1067,324871,324872
1068,324881,324883
1069,324881,324886
1070,324881,324882
1071,324881,324887
1072,324881,324885
1073,324881,324884
1074,324891,324895
1075,324891,324892
1076,324891,324894
1077,324891,324893
1078,324891,324897
1079,324891,324896
1080,324913,324914
1081,324913,324915
1082,324913,324917
1083,324913,324916
1084,324921,324926
1085,324921,324927
1086,324921,324924
1087,324921,324923
1088,324921,324922
1089,324921,324925
1090,324940,324943
1091,324940,324942
1092,324940,324941
1093,324940,324944
1094,324960,324963
1095,324960,324965
1096,324960,324962
1097,324960,324966
1098,324960,324961
1099,324960,324964
1100,324970,324971
1101,324970,324974
1102,324970,324973
1103,324970,324972
1104,324989,324990
1105,324989,324991
1106,324989,324992
1107,324989,324995
1108,324989,324993
1109,324989,324994
1110,325007,325009
1111,325007,325008
1112,325007,325012
1113,325007,325010
1114,325007,325011
1115,325007,325013
1116,325017,325020
1117,325017,325023
1118,325017,325018
1119,325017,325021
1120,325017,325022
1121,325017,325019
1122,325037,325039
1123,325037,325040
1124,325037,325038
1125,325046,325048
1126,325046,325050
1127,325046,325047
1128,325046,325049
1129,325061,325063
1130,325061,325062
1131,325061,325064
1132,325061,325065
1133,325075,325076
1134,325075,325078
1135,325075,325077
1136,325075,325079
1137,325096,325098
1138,325096,325097
1139,325101,325103
1140,325101,325102
1141,325107,325111
1142,325107,325108
1143,325107,325110
1144,325107,325109
1145,325114,325115
1146,325114,325116
1147,325119,325121
1148,325119,325122
1149,325119,325123
1150,325119,325120
1151,325129,325130
1152,325129,325131
1153,325133,325134
1154,325133,325135
1155,325138,325142
1156,325138,325140
1157,325138,325139
1158,325138,325141
1159,325148,325150
1160,325148,325149
1161,325153,325154
1162,325153,325155
1163,325157,325159
1164,325157,325158
1165,325161,325162
1166,325164,325165
1167,325164,325166
1168,325169,325170
1169,325169,325171
1170,325173,325174
1171,325173,325175
1172,325177,325178
1173,325177,325179
1174,325181,325182
1175,325181,325184
1176,325181,325183
1177,325186,325188
1178,325186,325187
1179,325190,325191
1180,325190,325192
1181,325194,325195
1182,325194,325196
1183,325199,325200
1184,325203,325204
1185,325203,325205
1186,325208,325210
1187,325208,325209
1188,325219,325220
1189,325224,325226
1190,325224,325225
1191,325236,325237
1192,325236,325238
1193,325248,325249
1194,325252,325254
1195,325252,325253
1196,325263,325264
1197,325263,325265
1198,325276,325277
1199,325276,325278
1200,325288,325290
1201,325288,325289
1202,325305,325306
1203,325305,325307
1204,325305,325308
1205,325323,325324
1206,325323,325325
1207,325341,325343
1208,325341,325342
1209,325341,325344
1210,325360,325362
1211,325360,325361
1212,325360,325363
1213,325378,325379
1214,325378,325381
1215,325378,325380
1216,325396,325398
1217,325396,325397
1218,325396,325399
1219,325413,325416
1220,325413,325415
1221,325413,325414
1222,325431,325434
1223,325431,325432
1224,325431,325433
1225,325431,325435
1226,325431,325436
1227,325439,325442
1228,325439,325441
1229,325439,325440
1230,325439,325443
1231,325439,325444
1232,325439,325445
1233,325449,325450
1234,325449,325454
1235,325449,325453
1236,325449,325452
1237,325449,325451
1238,325449,325455
1239,325460,325463
1240,325460,325462
1241,325460,325461
1242,325460,325464
1243,325479,325481
1244,325479,325482
1245,325479,325485
1246,325479,325483
1247,325479,325484
1248,325479,325480
1249,325479,325487
1250,325479,325486
1251,325502,325505
1252,325502,325503
1253,325502,325508
1254,325502,325504
1255,325502,325507
1256,325502,325506
1257,325525,325527
1258,325525,325526
1259,325525,325529
1260,325525,325528
1261,325533,325536
1262,325533,325535
1263,325533,325537
1264,325533,325534
1265,325541,325543
1266,325541,325544
1267,325541,325545
1268,325541,325542
1269,325549,325550
1270,325549,325552
1271,325549,325551
1272,325559,325561
1273,325559,325560
1274,325559,325562
1275,325559,325563
1276,325572,325573
1277,325572,325574
1278,325572,325575
1279,325572,325576
1280,325580,325584
1281,325580,325583
1282,325580,325582
1283,325580,325581
1284,325598,325600
1285,325598,325601
1286,325598,325599
1287,325598,325602
1288,325609,325611
1289,325609,325610
1290,325624,325628
1291,325624,325626
1292,325624,325625
1293,325624,325627
1294,325641,325644
1295,325641,325645
1296,325641,325642
1297,325641,325643
1298,325659,325660
1299,325659,325661
1300,325669,325671
1301,325669,325670
1302,325679,325681
1303,325679,325680
1304,325689,325690
1305,325698,325700
1306,325698,325699
1307,325708,325710
1308,325708,325709
1309,325718,325719
1310,325725,325726
1311,325732,325733
1312,325739,325740
1313,325746,325747
1314,325753,325754
1315,325760,325761
1316,325767,325768
1317,325774,325775
1318,325781,325782
1319,325788,325789
1320,325795,325797
1321,325795,325796
1322,325810,325811
1323,325810,325812
1324,325825,325828
1325,325825,325826
1326,325825,325827
1327,325841,325843
1328,325841,325842
1329,325856,325858
1330,325856,325857
1331,325872,325876
1332,325872,325874
1333,325872,325873
1334,325872,325875
1335,325881,325882
1336,325881,325885
1337,325881,325884
1338,325881,325883
1339,325891,325896
1340,325891,325897
1341,325891,325899
1342,325891,325895
1343,325891,325894
1344,325891,325892
1345,325891,325893
1346,325891,325898
1347,325910,325913
1348,325910,325916
1349,325910,325912
1350,325910,325914
1351,325910,325911
1352,325910,325915
1353,325929,325934
1354,325929,325930
1355,325929,325931
1356,325929,325935
1357,325929,325933
1358,325929,325932
1359,325948,325951
1360,325948,325949
1361,325948,325950
1362,325948,325952
1363,325956,325957
1364,325956,325959
1365,325956,325958
1366,325956,325960
1367,325970,325975
1368,325970,325973
1369,325970,325972
1370,325970,325971
1371,325970,325974
1372,325970,325976
1373,325993,325994
1374,325998,325999
1375,325998,326000
1376,326004,326006
1377,326004,326005
1378,326010,326011
1379,326010,326012
1380,326024,326025
1381,326024,326026
1382,326030,326031
1383,326030,326032
1384,326051,326053
1385,326051,326052
1386,326057,326059
1387,326057,326058
1388,326076,326078
1389,326076,326077
1390,326082,326083
1391,326082,326084
1392,326100,326101
1393,326100,326102
1394,326114,326115
1395,326114,326116
1396,326136,326138
1397,326136,326137
1398,326141,326143
1399,326141,326142
1400,326146,326147
1401,326146,326148
1402,326151,326153
1403,326151,326152
1404,326165,326166
1405,326165,326167
1406,326180,326182
1407,326180,326181
1408,326197,326204
1409,326197,326201
1410,326197,326203
1411,326197,326205
1412,326197,326199
1413,326197,326198
1414,326197,326209
1415,326197,326206
1416,326197,326202
1417,326197,326207
1418,326197,326200
1419,326197,326208
1420,326217,326229
1421,326217,326226
1422,326217,326219
1423,326217,326223
1424,326217,326224
1425,326217,326227
1426,326217,326220
1427,326217,326221
1428,326217,326222
1429,326217,326225
1430,326217,326228
1431,326217,326218
1432,326237,326245
1433,326237,326240
1434,326237,326241
1435,326237,326239
1436,326237,326247
1437,326237,326248
1438,326237,326238
1439,326237,326243
1440,326237,326246
1441,326237,326220
1442,326237,326244
1443,326237,326242
1444,326265,326268
1445,326265,326273
1446,326265,326271
1447,326265,326272
1448,326265,326275
1449,326265,326276
1450,326265,326228
1451,326265,326266
1452,326265,326270
1453,326265,326269
1454,326265,326267
1455,326265,326274
1456,326285,326290
1457,326285,326294
1458,326285,326288
1459,326285,326297
1460,326285,326287
1461,326285,326296
1462,326285,326293
1463,326285,326292
1464,326285,326291
1465,326285,326295
1466,326285,326286
1467,326285,326289
1468,326314,326325
1469,326314,326316
1470,326314,326326
1471,326314,326322
1472,326314,326320
1473,326314,326317
1474,326314,326324
1475,326314,326319
1476,326314,326318
1477,326314,326321
1478,326314,326315
1479,326314,326323
1480,326333,326334
1481,326333,326336
1482,326333,326340
1483,326333,326344
1484,326333,326323
1485,326333,326342
1486,326333,326343
1487,326333,326337
1488,326333,326339
1489,326333,326341
1490,326333,326338
1491,326333,326335
1492,326351,326357
1493,326351,326362
1494,326351,326361
1495,326351,326358
1496,326351,326354
1497,326351,326353
1498,326351,326356
1499,326351,326360
1500,326351,326355
1501,326351,326359
1502,326351,326352
1503,326380,326392
1504,326380,326389
1505,326380,326387
1506,326380,326384
1507,326380,326383
1508,326380,326390
1509,326380,326388
1510,326380,326391
1511,326380,326385
1512,326380,326382
1513,326380,326386
1514,326380,326381
1515,326399,326405
1516,326399,326407
1517,326399,326402
1518,326399,326409
1519,326399,326408
1520,326399,326411
1521,326399,326410
1522,326399,326403
1523,326399,326400
1524,326399,326401
1525,326399,326406
1526,326399,326404
1527,326427,326437
1528,326427,326434
1529,326427,326438
1530,326427,326432
1531,326427,326435
1532,326427,326430
1533,326427,326428
1534,326427,326429
1535,326427,326439
1536,326427,326433
1537,326427,326431
1538,326427,326436
1539,326459,326460
1540,326459,326463
1541,326459,326461
1542,326459,326462
1543,326466,326470
1544,326466,326468
1545,326466,326469
1546,326466,326467
1547,326473,326476
1548,326473,326475
1549,326473,326474
1550,326473,326477
1551,326480,326484
1552,326480,326481
1553,326480,326482
1554,326480,326483
1555,326487,326489
1556,326487,326490
1557,326487,326491
1558,326487,326488
1559,326494,326496
1560,326494,326497
1561,326494,326495
1562,326494,326498
1563,326510,326513
1564,326510,326511
1565,326510,326512
1566,326510,326514
1567,326529,326530
1568,326529,326531
1569,326529,326534
1570,326529,326533
1571,326529,326532
1572,326537,326541
1573,326537,326539
1574,326537,326538
1575,326537,326540
1576,326558,326561
1577,326558,326559
1578,326558,326560
1579,326558,326562
1580,326572,326574
1581,326572,326573
1582,326572,326576
1583,326572,326575
1584,326591,326593
1585,326591,326594
1586,326591,326595
1587,326591,326592
1588,326605,326614
1589,326605,326617
1590,326605,326612
1591,326605,326609
1592,326605,326607
1593,326605,326610
1594,326605,326608
1595,326605,326613
1596,326605,326616
1597,326605,326611
1598,326605,326615
1599,326605,326606
1600,326636,326641
1601,326636,326648
1602,326636,326645
1603,326636,326637
1604,326636,326643
1605,326636,326646
1606,326636,326644
1607,326636,326640
1608,326636,326639
1609,326636,326642
1610,326636,326638
1611,326636,326647
1612,326667,326679
1613,326667,326677
1614,326667,326675
1615,326667,326670
1616,326667,326671
1617,326667,326678
1618,326667,326668
1619,326667,326669
1620,326667,326672
1621,326667,326676
1622,326667,326674
1623,326667,326673
1624,326699,326705
1625,326699,326701
1626,326699,326704
1627,326699,326707
1628,326699,326703
1629,326699,326706
1630,326699,326700
1631,326699,326702
1632,326724,326726
1633,326724,326727
1634,326724,326731
1635,326724,326728
1636,326724,326729
1637,326724,326732
1638,326724,326730
1639,326724,326725
1640,326749,326761
1641,326749,326750
1642,326749,326754
1643,326749,326752
1644,326749,326758
1645,326749,326756
1646,326749,326759
1647,326749,326760
1648,326749,326753
1649,326749,326757
1650,326749,326751
1651,326749,326755
1652,326780,326785
1653,326780,326787
1654,326780,326784
1655,326780,326783
1656,326780,326786
1657,326780,326781
1658,326780,326782
1659,326780,326788
