id,lab_method_id,nutrient_id
387,1217,1333
388,1217,1271
389,1217,1270
390,1217,1273
391,1217,1321
392,1217,1264
393,1217,1323
394,1217,1313
395,1217,1277
396,1217,1261
397,1217,1265
398,1217,1268
399,1217,1266
400,1217,1269
401,1217,1325
402,1217,1263
403,1220,1011
404,1220,1075
405,1220,1014
406,1220,1012
407,1220,1010
408,1220,1013
409,1222,1123
410,1222,1120
411,1222,1107
412,1222,1116
413,1222,1117
414,1222,1122
415,1222,1108
416,1224,1210
417,1229,1002
418,1230,1009
419,1232,1002
420,1235,1166
421,1238,1177
422,1242,1007
423,1243,1051
424,1244,1166
425,1246,1162
426,1249,1175
427,1250,1082
428,1253,1212
429,1253,1227
430,1253,1221
431,1253,1225
432,1253,1216
433,1253,1213
434,1253,1214
435,1253,1219
436,1253,1215
437,1253,1224
438,1253,1222
439,1253,1226
440,1253,1211
441,1253,1217
442,1253,1223
443,1253,1220
444,1254,1170
445,1255,1280
446,1255,1299
447,1255,1264
448,1255,1334
449,1255,1268
450,1255,1273
451,1255,1300
452,1255,1278
453,1255,1301
454,1255,1260
455,1255,1270
456,1255,1271
457,1255,1266
458,1255,1267
459,1255,1269
460,1255,1272
461,1255,1265
462,1255,1261
463,1255,1279
464,1255,1277
465,1255,1262
466,1255,1259
467,1255,1276
468,1255,1263
469,1256,1051
470,1257,1222
471,1257,1214
472,1257,1218
473,1257,1213
474,1257,1219
475,1257,1210
476,1257,1212
477,1257,1211
478,1257,1220
479,1257,1224
480,1257,1223
481,1257,1217
482,1257,1227
483,1257,1226
484,1257,1221
485,1257,1225
486,1260,1176
487,1261,1253
488,1262,1296
489,1262,1288
490,1262,1286
491,1262,1294
492,1262,2052
493,1262,1287
494,1262,1289
495,1262,2053
496,1262,1285
497,1262,1298
498,1263,2038
499,1263,2033
500,1263,2065
501,1264,1126
502,1264,1109
503,1264,1125
504,1264,1127
505,1265,1129
506,1265,1128
507,1265,1130
508,1265,1131
509,1266,1176
510,1267,1109
511,1267,1105
512,1267,1129
513,1267,1128
514,1267,1130
515,1267,1131
516,1267,1125
517,1267,1126
518,1267,1127
519,1268,1118
520,1268,2032
521,1268,1119
522,1268,1122
523,1268,1108
524,1268,1120
525,1268,1107
526,1268,1161
527,1268,1121
528,1268,1159
529,1268,2028
530,1268,2029
531,1268,1160
532,1269,1051
533,1270,1007
534,1271,2059
535,1271,1111
536,1272,1340
537,1272,2051
538,1272,2050
539,1272,1341
540,1272,2049
541,1273,2057
542,1274,2062
543,1274,2061
544,1274,1286
545,1274,2060
546,1274,1284
547,1274,1285
548,1274,1288
549,1274,1294
550,1274,1296
551,1274,2052
552,1275,1076
553,1275,1077
554,1275,2063
555,1276,2058
556,1277,2058
557,1278,2033
558,1279,1004
559,1280,2069
560,1282,1178
